,name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,lng,lat
0,Hokkaido,北海道,1192,97,1001,94,12,0,18834,141.347899,43.063968
1,Aomori,青森県,27,0,26,1,0,0,941,140.740593,40.824623
2,Iwate,岩手県,0,0,0,0,0,0,837,141.152667,39.703531
3,Miyagi,宮城県,89,1,87,1,0,0,3422,140.872103,38.268839
4,Akita,秋田県,16,0,16,0,0,0,979,140.102334,39.7186
5,Yamagata,山形県,69,1,68,0,1,0,2498,140.363634,38.240437
6,Fukushima,福島県,82,2,80,0,0,0,6076,140.467521,37.750299
7,Ibaraki,茨城県,170,5,155,10,0,0,5125,140.446793,36.341813
8,Tochigi,栃木県,66,1,65,0,0,0,6095,139.883565,36.565725
9,Gunma,群馬県,151,2,130,19,0,0,4594,139.060156,36.391208
10,Saitama,埼玉県,1031,25,941,65,3,0,29928,139.648933,35.857428
11,Chiba,千葉県,924,24,855,45,2,0,17122,140.123308,35.605058
12,Tokyo,東京都,5748,344,5084,320,18,0,65496,139.691704,35.689521
13,Kanagawa,神奈川県,1428,70,1265,93,10,0,11826,139.642514,35.447753
14,Niigata,新潟県,84,2,81,0,0,1,4711,139.023221,37.902418
15,Toyama,富山県,227,0,205,22,0,0,3787,137.211338,36.69529
16,Ishikawa,石川県,299,24,248,27,2,0,2863,136.625573,36.594682
17,Fukui,福井県,122,0,114,8,0,0,3202,136.221642,36.065219
18,Yamanashi,山梨県,72,2,69,1,0,0,5175,138.568449,35.664158
19,Nagano,長野県,77,2,75,-,0,0,3105,138.181224,36.651289
20,Gifu,岐阜県,156,5,144,7,1,0,4698,136.722291,35.391227
21,Shizuoka,静岡県,80,5,74,1,0,0,3749,138.383054,34.976978
22,Aichi,愛知県,521,12,470,34,0,5,11750,136.906565,35.180188
23,Mie,三重県,46,1,44,1,0,0,2705,136.508591,34.730283
24,Shiga,滋賀県,101,2,98,1,1,0,2212,135.86859,35.004531
25,Kyoto,京都府,363,4,341,18,0,0,9418,135.755608,35.021004
26,Osaka,大阪府,1806,39,1681,86,5,0,37550,135.519711,34.686316
27,Hyogo,兵庫県,700,4,653,43,0,0,13886,135.183025,34.691279
28,Nara,奈良県,92,0,90,2,0,0,3491,135.832744,34.685333
29,Wakayama,和歌山県,63,0,60,3,0,0,3891,135.167506,34.226034
30,Tottori,鳥取県,3,0,3,0,0,0,1445,134.237672,35.503869
31,Shimane,島根県,24,1,23,0,1,0,1210,133.050499,35.472297
32,Okayama,岡山県,25,0,25,-,-,0,1863,133.934675,34.661772
33,Hiroshima,広島県,168,0,165,3,0,0,7568,132.459622,34.39656
34,Yamaguchi,山口県,37,1,36,0,1,0,2051,131.4705,34.186121
35,Tokushima,徳島県,5,0,4,1,0,0,844,134.559303,34.06577
36,Kagawa,香川県,28,0,28,0,0,0,2511,134.043444,34.340149
37,Ehime,愛媛県,82,4,74,4,0,0,2558,132.765362,33.84166
38,Kochi,高知県,74,0,71,3,0,0,1919,133.53108,33.559705
39,Fukuoka,福岡県,838,29,781,28,2,0,15427,130.418314,33.606785
40,Saga,佐賀県,47,0,47,0,0,0,1592,130.298822,33.249367
41,Nagasaki,長崎県,17,0,16,1,0,0,3104,129.873756,32.744839
42,Kumamoto,熊本県,48,0,45,3,0,0,4164,130.741667,32.789828
43,Oita,大分県,60,0,59,1,0,0,4583,131.612591,33.238194
44,Miyazaki,宮崎県,17,0,17,0,0,0,1509,131.423855,31.91109
45,Kagoshima,鹿児島県,11,1,10,0,0,0,2423,130.557981,31.560148
46,Okinawa,沖縄県,142,0,139,7,0,0,2986,127.680932,26.212401
